company,company_clean,founded_year,joined_date,valuation_billion,country,city,industry,funding_round_id,object_id,funded_at,funding_round_type,raised_amount_usd,valuation_usd
Acronis,acronis,2003.0,2019-09-18,2.5,Switzerland,Schaffhausen,Cybersecurity,2611.0,c:6755,2004-01-01,venture,11000000.0,2500000000.0
Addepar,addepar,2009.0,2021-06-15,2.17,United States,Mountain View,Fintech,37620.0,c:64596,2011-06-15,series-a,15839694.0,2170000000.0
Age of Learning,ageoflearning,2007.0,2016-05-03,3.0,United States,Glendale,Edtech,46667.0,c:248515,2012-04-12,other,16500000.0,3000000000.0
Age of Learning,ageoflearning,2007.0,2016-05-03,3.0,United States,Glendale,Edtech,53962.0,c:248515,2011-06-17,other,15000000.0,3000000000.0
Algolia,algolia,2012.0,2021-07-28,2.25,United States,San Francisco,Internet,50543.0,c:171616,2013-10-01,series-a,1500000.0,2250000000.0
Alloy,alloy,2015.0,2021-09-30,1.35,United States,New York,Fintech,16415.0,c:657,2010-06-24,venture,126500000.0,1350000000.0
AppDirect,appdirect,2009.0,2015-10-07,1.1,United States,San Francisco,E-commerce & direct-to-consumer,22704.0,c:74323,2011-04-28,series-a,3250000.0,1100000000.0
AppDirect,appdirect,2009.0,2015-10-07,1.1,United States,San Francisco,E-commerce & direct-to-consumer,31368.0,c:74323,2012-07-18,series-a,8500000.0,1100000000.0
AppDirect,appdirect,2009.0,2015-10-07,1.1,United States,San Francisco,E-commerce & direct-to-consumer,48278.0,c:74323,2013-09-10,series-b,9000000.0,1100000000.0
AppDirect,appdirect,2009.0,2015-10-07,1.1,United States,San Francisco,E-commerce & direct-to-consumer,55907.0,c:74323,2011-03-07,other,2749820.0,1100000000.0
AppsFlyer,appsflyer,2011.0,2020-01-21,2.0,United States,San Francisco,Mobile & telecommunications,42094.0,c:151746,2012-01-01,venture,0.0,2000000000.0
Arctic Wolf Networks,arcticwolfnetworks,2012.0,2020-10-22,4.3,United States,Eden Prairie,Cybersecurity,55960.0,c:282123,2012-05-01,series-a,7250000.0,4300000000.0
Assembly,assembly,2019.0,2021-09-21,1.0,United States,Culver City,Internet,54609.0,c:67678,2013-01-01,angel,0.0,1000000000.0
Automattic,automattic,2005.0,2013-05-27,1.8,United States,San Francisco,Internet,777.0,c:1080,2005-10-01,series-a,1100000.0,1800000000.0
Automattic,automattic,2005.0,2013-05-27,1.8,United States,San Francisco,Internet,1419.0,c:1080,2008-01-01,series-b,29500000.0,1800000000.0
Axtria,axtria,2009.0,2021-05-13,1.0,United States,Berkeley Heights,Data,15195.0,c:47153,2010-05-03,venture,2500000.0,1000000000.0
Betterfly,betterfly,2018.0,2022-02-01,1.0,Chile,Santiago,Artificial intelligence,18435.0,c:47420,2010-09-20,series-a,0.0,1000000000.0
Betterfly,betterfly,2018.0,2022-02-01,1.0,Chile,Santiago,Artificial intelligence,28481.0,c:47420,2012-02-29,series-a,1500000.0,1000000000.0
Betterfly,betterfly,2018.0,2022-02-01,1.0,Chile,Santiago,Artificial intelligence,46236.0,c:47420,2013-08-21,angel,1000000.0,1000000000.0
Betterment,betterment,2010.0,2021-09-29,1.3,United States,New York,Fintech,20330.0,c:44467,2010-12-01,series-a,3000000.0,1300000000.0
Betterment,betterment,2010.0,2021-09-29,1.3,United States,New York,Fintech,32968.0,c:44467,2012-10-03,series-b,10000000.0,1300000000.0
BitSight Technologies,bitsighttechnologies,2013.0,2021-09-13,2.4,United States,Boston,Cybersecurity,39364.0,c:221968,2013-06-05,series-a,24000000.0,2400000000.0
BitSight Technologies,bitsighttechnologies,2013.0,2021-09-13,2.4,United States,Boston,Cybersecurity,53986.0,c:221968,2011-04-15,angel,1035000.0,2400000000.0
BlaBlaCar,blablacar,2006.0,2015-09-16,2.0,France,Paris,Auto & transportation,27579.0,c:79517,2012-01-16,venture,10000000.0,2000000000.0
BloomReach,bloomreach,2009.0,2022-02-23,2.2,United States,Mountain View,Artificial intelligence,33282.0,c:57161,2012-10-18,series-c+,25000000.0,2200000000.0
BloomReach,bloomreach,2009.0,2022-02-23,2.2,United States,Mountain View,Artificial intelligence,42586.0,c:57161,2008-09-01,series-a,5000000.0,2200000000.0
BloomReach,bloomreach,2009.0,2022-02-23,2.2,United States,Mountain View,Artificial intelligence,42587.0,c:57161,2010-09-01,series-b,11000000.0,2200000000.0
Bolt,bolt,2014.0,2021-10-08,11.0,United States,San Francisco,Fintech,22705.0,c:72948,2010-02-01,series-a,5000000.0,11000000000.0
Bolt,bolt,2014.0,2021-10-08,11.0,United States,San Francisco,Fintech,48302.0,c:263415,2013-02-01,angel,16000.0,11000000000.0
Branch,branch,2014.0,2018-09-10,4.0,United States,Redwood City,Mobile & telecommunications,28616.0,c:151577,2012-03-06,series-a,2000000.0,4000000000.0
BrewDog,brewdog,2007.0,2017-04-10,1.24,United Kingdom,Aberdeen,Consumer & retail,40888.0,c:231651,2013-09-03,crowdfunding,4545754.0,1240000000.0
C2FO,c2fo,2008.0,2019-08-07,1.0,United States,Leawood,Fintech,32389.0,c:101893,2012-09-05,series-a,9100000.0,1000000000.0
C2FO,c2fo,2008.0,2019-08-07,1.0,United States,Leawood,Fintech,43415.0,c:101893,2013-07-23,series-b,18000000.0,1000000000.0
Cabify,cabify,2011.0,2018-01-22,1.4,Spain,Madrid,Auto & transportation,32629.0,c:171702,2012-09-16,series-a,1964250.0,1400000000.0
CAIS,cais,2009.0,2022-01-11,1.0,United States,New York,Fintech,56106.0,c:282308,2011-02-18,series-a,4000000.0,1000000000.0
Calm,calm,2012.0,2019-02-06,2.0,United States,San Francisco,Consumer & retail,45402.0,c:189721,2013-02-26,angel,415000.0,2000000000.0
Canva,canva,2012.0,2018-01-08,40.0,Australia,Surry Hills,Internet,38000.0,c:186193,2013-03-19,series-a,3000000.0,40000000000.0
Canva,canva,2012.0,2018-01-08,40.0,Australia,Surry Hills,Internet,39312.0,c:186193,2013-03-08,other,105000.0,40000000000.0
Carousell,carousell,2012.0,2021-09-15,1.1,Singapore,E-commerce & direct-to-consumer,Other,54613.0,c:279246,2013-11-13,angel,800000.0,1100000000.0
Circle,circle,2013.0,2018-05-15,3.0,United States,Boston,Fintech,22701.0,c:64385,2011-01-01,angel,1000000.0,3000000000.0
Circle,circle,2013.0,2018-05-15,3.0,United States,Boston,Fintech,23918.0,c:64385,2011-06-30,series-a,5000000.0,3000000000.0
Circle,circle,2013.0,2018-05-15,3.0,United States,Boston,Fintech,43533.0,c:240867,2008-05-01,venture,0.0,3000000000.0
Circle,circle,2013.0,2018-05-15,3.0,United States,Boston,Fintech,52930.0,c:240867,2011-03-01,angel,0.0,3000000000.0
CircleCI,circleci,2011.0,2021-05-11,1.7,United States,San Francisco,Internet,35801.0,c:167791,2013-02-25,series-a,1500000.0,1700000000.0
ClassDojo,classdojo,2011.0,2022-07-21,1.25,United States,,Edtech,31942.0,c:142810,2012-08-15,series-a,1600000.0,1250000000.0
ClassDojo,classdojo,2011.0,2022-07-21,1.25,United States,,Edtech,36416.0,c:142810,2011-10-06,angel,0.0,1250000000.0
Clio,clio,2008.0,2021-04-27,1.6,Canada,Burnaby,Internet,27864.0,c:28156,2012-01-30,series-b,6000000.0,1600000000.0
Clip,clip,2012.0,2021-06-10,2.0,Mexico,Mexico City,Fintech,43216.0,c:160934,2011-01-01,venture,0.0,2000000000.0
CloudBees,cloudbees,2010.0,2021-12-09,1.15,United States,San Jose,Data,20278.0,c:59031,2010-11-29,series-a,4000000.0,1150000000.0
CloudBees,cloudbees,2010.0,2021-12-09,1.15,United States,San Jose,Data,24363.0,c:59031,2011-07-25,series-b,10500000.0,1150000000.0
CloudBees,cloudbees,2010.0,2021-12-09,1.15,United States,San Jose,Data,43165.0,c:59031,2013-07-17,series-b,2000000.0,1150000000.0
Coda Payments,codapayments,2011.0,2022-04-15,2.5,Singapore,,Other,37597.0,c:182735,2012-01-01,angel,900000.0,2500000000.0
Coda Payments,codapayments,2011.0,2022-04-15,2.5,Singapore,,Other,56813.0,c:182735,2013-12-02,series-a,2300000.0,2500000000.0
Collibra,collibra,2008.0,2019-01-29,5.25,Belgium,Brussels,Data,7562.0,c:27769,2008-01-01,angel,1251285.0,5250000000.0
Contentful,contentful,2013.0,2021-07-28,3.0,Germany,Berlin,Internet,40923.0,c:231656,2013-06-26,angel,0.0,3000000000.0
Contentful,contentful,2013.0,2021-07-28,3.0,Germany,Berlin,Internet,43566.0,c:231656,2012-08-01,venture,0.0,3000000000.0
Course Hero,coursehero,2006.0,2020-02-12,3.6,United States,Redwood City,Edtech,28670.0,c:19469,2010-07-13,series-a,1500000.0,3600000000.0
Course Hero,coursehero,2006.0,2020-02-12,3.6,United States,Redwood City,Edtech,29256.0,c:19469,2010-01-01,angel,883000.0,3600000000.0
Current,current,2015.0,2021-04-27,2.2,United States,New York,Fintech,25360.0,c:104603,2011-09-13,venture,13000000.0,2200000000.0
Cybereason,cybereason,2012.0,2019-08-06,2.44,United States,Boston,Cybersecurity,55173.0,c:237616,2013-05-01,series-a,4620000.0,2440000000.0
Databricks,databricks,2013.0,2019-02-05,38.0,United States,San Francisco,Data,50027.0,c:267428,2013-09-25,venture,14000000.0,38000000000.0
Dataminr,dataminr,2009.0,2018-06-04,4.1,United States,New York,Artificial intelligence,32790.0,c:154327,2012-09-24,series-b,16500000.0,4100000000.0
Dataminr,dataminr,2009.0,2018-06-04,4.1,United States,New York,Artificial intelligence,39788.0,c:154327,2013-06-12,series-c+,30000000.0,4100000000.0
Dataminr,dataminr,2009.0,2018-06-04,4.1,United States,New York,Artificial intelligence,54892.0,c:154327,2011-04-14,venture,1086000.0,4100000000.0
DataRobot,datarobot,2012.0,2019-07-29,6.3,United States,Boston,Artificial intelligence,38607.0,c:202793,2013-01-14,angel,0.0,6300000000.0
DataRobot,datarobot,2012.0,2019-07-29,6.3,United States,Boston,Artificial intelligence,40006.0,c:202793,2013-09-16,series-a,3300000.0,6300000000.0
DataStax,datastax,2010.0,2021-05-26,1.6,United States,,Data,18464.0,c:46410,2010-04-23,angel,0.0,1600000000.0
DataStax,datastax,2010.0,2021-05-26,1.6,United States,,Data,19547.0,c:46410,2010-10-27,series-a,2700000.0,1600000000.0
DataStax,datastax,2010.0,2021-05-26,1.6,United States,,Data,25525.0,c:46410,2011-09-21,series-b,11000000.0,1600000000.0
DataStax,datastax,2010.0,2021-05-26,1.6,United States,,Data,32930.0,c:46410,2012-10-01,series-c+,25000000.0,1600000000.0
DataStax,datastax,2010.0,2021-05-26,1.6,United States,,Data,43413.0,c:46410,2013-07-23,series-c+,45000000.0,1600000000.0
Deezer,deezer,2007.0,2018-08-02,1.4,France,Paris,Internet,8792.0,c:1501,2008-07-01,series-a,6800000.0,1400000000.0
Deezer,deezer,2007.0,2018-08-02,1.4,France,Paris,Internet,9106.0,c:1501,2009-10-10,series-b,12500000.0,1400000000.0
Deezer,deezer,2007.0,2018-08-02,1.4,France,Paris,Internet,33053.0,c:1501,2012-10-07,series-c+,130000000.0,1400000000.0
Degreed,degreed,2012.0,2021-04-13,1.4,United States,Pleasanton,Edtech,41840.0,c:155507,2012-11-30,other,900000.0,1400000000.0
Druva,druva,2007.0,2019-06-20,2.0,United States,Sunnyvale,Data,13864.0,c:45363,2010-04-07,series-a,5000000.0,2000000000.0
Druva,druva,2007.0,2019-06-20,2.0,United States,Sunnyvale,Data,24962.0,c:45363,2011-08-24,series-b,12000000.0,2000000000.0
Druva,druva,2007.0,2019-06-20,2.0,United States,Sunnyvale,Data,51920.0,c:45363,2013-10-15,series-c+,25000000.0,2000000000.0
Earnix,earnix,2001.0,2021-02-21,2.0,Israel,Giv'atayim,Fintech,18967.0,c:58601,2005-09-13,series-b,7000000.0,2000000000.0
Earnix,earnix,2001.0,2021-02-21,2.0,Israel,Giv'atayim,Fintech,42664.0,c:58601,2008-09-04,other,3000000.0,2000000000.0
EcoVadis,ecovadis,2007.0,2022-06-14,1.0,France,,"Supply chain, logistics, & delivery",4137.0,c:15424,2007-10-01,angel,1400000.0,1000000000.0
eSentire,esentire,2001.0,2022-02-22,1.1,Canada,Waterloo,Cybersecurity,42998.0,c:238722,2013-07-17,venture,7000000.0,1100000000.0
ezCater,ezcater,2007.0,2019-04-02,1.6,United States,Boston,"Supply chain, logistics, & delivery",25779.0,c:133277,2011-10-05,angel,630000.0,1600000000.0
ezCater,ezcater,2007.0,2019-04-02,1.6,United States,Boston,"Supply chain, logistics, & delivery",33119.0,c:133277,2012-10-10,venture,2160000.0,1600000000.0
Fanatics,fanatics,1995.0,2012-06-06,27.0,United States,Jacksonville,E-commerce & direct-to-consumer,30476.0,c:68409,2012-06-07,venture,225000000.0,27000000000.0
Fanatics,fanatics,1995.0,2012-06-06,27.0,United States,Jacksonville,E-commerce & direct-to-consumer,39551.0,c:68409,2013-06-06,venture,170000000.0,27000000000.0
Feedzai,feedzai,2009.0,2021-03-24,1.0,United States,San Mateo,Artificial intelligence,31682.0,c:142035,2011-05-06,series-a,2073643.0,1000000000.0
Feedzai,feedzai,2009.0,2021-03-24,1.0,United States,San Mateo,Artificial intelligence,35684.0,c:142035,2013-02-19,series-a,2400000.0,1000000000.0
Figma,figma,2012.0,2020-04-30,10.0,United States,San Francisco,Internet,41001.0,c:232287,2013-06-24,series-a,3874996.0,10000000000.0
Figment,figment,2018.0,2021-12-20,1.4,Canada,Toronto,Internet,22993.0,c:76254,2011-05-12,venture,1000000.0,1400000000.0
FirstCry,firstcry,2010.0,2020-02-07,2.1,India,Pune,E-commerce & direct-to-consumer,28250.0,c:144979,2012-02-13,series-b,14000000.0,2100000000.0
FiveTran,fivetran,2012.0,2020-06-30,5.6,United States,Oakland,Data,52996.0,c:192103,2013-03-01,angel,0.0,5600000000.0
Flipboard,flipboard,2010.0,2015-07-22,1.32,United States,Palo Alto,Internet,17093.0,c:47368,2010-07-20,series-a,10500000.0,1320000000.0
Flipboard,flipboard,2010.0,2015-07-22,1.32,United States,Palo Alto,Internet,22481.0,c:47368,2011-04-14,series-b,50000000.0,1320000000.0
Flipboard,flipboard,2010.0,2015-07-22,1.32,United States,Palo Alto,Internet,49668.0,c:47368,2013-09-23,series-c+,50000000.0,1320000000.0
Flipboard,flipboard,2010.0,2015-07-22,1.32,United States,Palo Alto,Internet,57436.0,c:47368,2013-12-09,series-c+,50000000.0,1320000000.0
FloQast,floqast,2013.0,2021-07-21,1.2,United States,Los Angeles,Fintech,41307.0,c:233718,2013-06-28,angel,50000.0,1200000000.0
Formlabs,formlabs,2011.0,2018-08-01,2.0,United States,Somerville,Hardware,26716.0,c:142795,2011-11-23,venture,500000.0,2000000000.0
Formlabs,formlabs,2011.0,2018-08-01,2.0,United States,Somerville,Hardware,33421.0,c:142795,2012-10-25,crowdfunding,2800000.0,2000000000.0
Formlabs,formlabs,2011.0,2018-08-01,2.0,United States,Somerville,Hardware,52631.0,c:142795,2013-10-24,series-a,19000000.0,2000000000.0
Fractal Analytics,fractalanalytics,2000.0,2022-01-05,1.0,India,Mumbai,Data,40601.0,c:177846,2013-06-24,venture,25000000.0,1000000000.0
Gett,gett,2010.0,2016-05-24,1.5,United Kingdom,London,Auto & transportation,27147.0,c:60038,2011-12-20,angel,457590.0,1500000000.0
GetYourGuide,getyourguide,2009.0,2019-05-16,1.1,Germany,Berlin,Travel,8275.0,c:9260,2012-03-07,series-a,2000000.0,1100000000.0
GetYourGuide,getyourguide,2009.0,2019-05-16,1.1,Germany,Berlin,Travel,34647.0,c:9260,2013-01-07,series-a,14000000.0,1100000000.0
GoCardless,gocardless,2011.0,2022-02-08,2.1,United Kingdom,London,Fintech,28031.0,c:148846,2012-02-07,venture,1500000.0,2100000000.0
GoCardless,gocardless,2011.0,2022-02-08,2.1,United Kingdom,London,Fintech,37182.0,c:148846,2013-04-18,series-a,3300000.0,2100000000.0
Gousto,gousto,2012.0,2020-11-03,1.7,United Kingdom,London,"Supply chain, logistics, & delivery",48658.0,c:232917,2013-09-23,angel,808357.0,1700000000.0
Gousto,gousto,2012.0,2020-11-03,1.7,United Kingdom,London,"Supply chain, logistics, & delivery",57373.0,c:232917,2013-12-09,series-a,2000000.0,1700000000.0
Greenlight,greenlight,2014.0,2020-09-24,2.3,United States,Atlanta,Fintech,30065.0,c:158910,2011-07-20,angel,40331.0,2300000000.0
Hailo,hailo,2017.0,2021-06-23,1.0,Israel,Tel Aviv,Artificial intelligence,25059.0,c:82353,2011-04-01,series-a,3000000.0,1000000000.0
Hailo,hailo,2017.0,2021-06-23,1.0,Israel,Tel Aviv,Artificial intelligence,29008.0,c:82353,2012-03-29,series-a,17000000.0,1000000000.0
Hailo,hailo,2017.0,2021-06-23,1.0,Israel,Tel Aviv,Artificial intelligence,34486.0,c:82353,2012-12-31,series-b,30600000.0,1000000000.0
Handshake,handshake,2014.0,2021-05-12,3.5,United States,San Francisco,Internet,39233.0,c:221177,2013-06-04,series-a,1500000.0,3500000000.0
HeartFlow,heartflow,2007.0,2017-12-04,1.3,United States,Redwood City,Health,53605.0,c:57370,2012-02-02,private-equity,74999999.0,1300000000.0
HeartFlow,heartflow,2007.0,2017-12-04,1.3,United States,Redwood City,Health,56319.0,c:57370,2011-02-04,venture,20416022.0,1300000000.0
HeartFlow,heartflow,2007.0,2017-12-04,1.3,United States,Redwood City,Health,56320.0,c:57370,2010-06-14,other,10000000.0,1300000000.0
HeartFlow,heartflow,2007.0,2017-12-04,1.3,United States,Redwood City,Health,56321.0,c:57370,2010-04-19,venture,1600000.0,1300000000.0
Heyday,heyday,2017.0,2021-11-16,1.0,United States,Chicago,E-commerce & direct-to-consumer,57191.0,c:284522,2013-12-05,series-a,2000000.0,1000000000.0
HomeLight,homelight,2012.0,2021-09-02,1.6,United States,San Francisco,Fintech,33780.0,c:151402,2012-11-15,series-a,1500000.0,1600000000.0
